,school_name,address,postal_code,mrt_desc,bus_desc,dgp_code,nature_code,mainlevel_code
222,PING YI SECONDARY SCHOOL,61 CHAI CHEE STREET,468980,BEDOK MRT,"26, 222, 222P, 2, 7, 24, 25, 28, 30, 30E, 32, 33, 40, 67, 229, 401, 854, 60, 87",BEDOK,CO-ED SCHOOL,SECONDARY
223,PEICAI SECONDARY SCHOOL,10 SERANGOON AVENUE 4,556094,SERANGOON MRT,"22, 24, 43, 53, 70, 76, 103, 109, 116, 147, 156, 315, 317, 853",SERANGOON,CO-ED SCHOOL,SECONDARY
224,PASIR RIS SECONDARY SCHOOL,390 TAMPINES STREET 21,529400,"TAMPINES MRT, TAMPINES EAST MRT, TAMPINEST WEST MRT","4, 8, 10, 18, 19, 20, 22, 23, 28, 29, 31, 37, 38, 39, 46, 65, 69, 72, 81, 127, 129, 291, 292, 293,",TAMPINES,CO-ED SCHOOL,SECONDARY
225,GUANGYANG SECONDARY SCHOOL,8 BISHAN STREET 12,579807,BISHAN MRT,"410, 13, 56, 57, 59, 88, 93, 157, 163",BISHAN,CO-ED SCHOOL,SECONDARY
226,RIVERSIDE SECONDARY SCHOOL,3 WOODLANDS STREET 81,738524,WOODLANDS MRT,"858, 900, 911, 913, 964, 962, 965, 969, 169, 903",WOODLANDS,CO-ED SCHOOL,SECONDARY
227,ZHONGHUA SECONDARY SCHOOL,13 SERANGOON AVENUE 3,556123,SERANGOON MRT,"22, 43, 45, 53, 58, 70, 81, 82, 100, 101, 103, 105, 107, 109, 133, 135, 147, 153, 158, 315, 317, 853",SERANGOON,CO-ED SCHOOL,SECONDARY
228,SWISS COTTAGE SECONDARY SCHOOL,3 BUKIT BATOK STREET 34,659322,BUKIT GOMBAK MRT,"187,188,985,945",BUKIT BATOK,CO-ED SCHOOL,SECONDARY
229,YUSOF ISHAK SECONDARY SCHOOL,11 BUKIT BATOK STREET 25,658712,BUKIT BATOK MRT,"61, 66, 77, 106, 157, 174, 178, 506, 852, 963",BUKIT BATOK,CO-ED SCHOOL,SECONDARY
230,CHANGKAT CHANGI SECONDARY SCHOOL,23 SIMEI ST 3,529894,SIMEI MRT,"5, 9, 20, 38",TAMPINES,CO-ED SCHOOL,SECONDARY
231,TECK WHYE SECONDARY SCHOOL,31 TECK WHYE CRESCENT,688848,"CHUA CHU KANG MRT, PHOENIX LRT","975, 985, 190, 982E, 557",CHOA CHU KANG,CO-ED SCHOOL,SECONDARY
232,DUNEARN SECONDARY SCHOOL,21 BUKIT BATOK WEST AVENUE 2,659204,"BUKIT BATOK MRT, BUKIT GOMBAK MRT","160, 180, 187, 188, 945, 947, 985",BUKIT BATOK,CO-ED SCHOOL,SECONDARY
