,school_name,address,postal_code,mrt_desc,bus_desc,dgp_code,nature_code,mainlevel_code
0,NATIONAL JUNIOR COLLEGE,37 HILLCREST ROAD,288913,"BOTANIC GARDENS MRT, TAN KAH KEE MRT, SIXTH AVENUE MRT","151, 154, 156, 157, 170, 170X, 171, 174, 66, 67, 67A, 67W, 74, 852, 961, 961C",BUKIT TIMAH,CO-ED SCHOOL,MIXED LEVEL
1,TEMASEK JUNIOR COLLEGE,22 BEDOK SOUTH ROAD,469278,BEDOK MRT,"12, 16, 31, 38, 47, 137, 155, 196, 197, 229",BEDOK,CO-ED SCHOOL,MIXED LEVEL
2,VICTORIA JUNIOR COLLEGE,20 MARINE VISTA,449035,"Nearest MRT Stations:  Kembangan, Eunos","13, 16, 31, 36, 43, 48, 55, 135, 196, 196e, 197",BEDOK,CO-ED SCHOOL,JUNIOR COLLEGE
3,EUNOIA JUNIOR COLLEGE,53 MOUNT SINAI ROAD,276880,"Buona Vista MRT Station, Dover MRT Station","92, 100, 105, 106, 111, 147, 185",BISHAN,CO-ED SCHOOL,JUNIOR COLLEGE
4,ANDERSON SERANGOON JUNIOR COLLEGE,4500 ANG MO KIO AVENUE 6,569843,Yio Chu Kang MRT Station,"13, 45, 86, 162, 269, 825, 851, 852, 853",ANG MO KIO,CO-ED SCHOOL,JUNIOR COLLEGE
5,YISHUN INNOVA JUNIOR COLLEGE,3 YISHUN RING ROAD,768675,"Yishun, Khatib","800, 812, 167, 169, 171, 980",YISHUN,CO-ED SCHOOL,JUNIOR COLLEGE
6,TAMPINES MERIDIAN JUNIOR COLLEGE,21 PASIR RIS STREET 71,518799,Pasir Ris MRT Station,"3, 39, 53, 81, 89, 109, 358, 518",PASIR RIS,CO-ED SCHOOL,JUNIOR COLLEGE
7,JURONG PIONEER JUNIOR COLLEGE,21 TECK WHYE WALK,688258,Choa Chu Kang / Bt Panjang / Phoenix Station (LRT),"975, 190, 985",CHOA CHU KANG,CO-ED SCHOOL,JUNIOR COLLEGE
8,CATHOLIC JUNIOR COLLEGE,129 WHITLEY ROAD,297822,Toa Payoh MRT Station Novena MRT Station Orchard MRT Station,"105, 132, 151, 153, 154, 156, 186, 996, 985",NOVENA,CO-ED SCHOOL,JUNIOR COLLEGE
9,ANGLO-CHINESE JUNIOR COLLEGE,25 DOVER CLOSE EAST,139745,Buona Vista,"74,95,100,105,106,111,145,147,191,196,198,602",QUEENSTOWN,CO-ED SCHOOL,JUNIOR COLLEGE
10,ST. ANDREW'S JUNIOR COLLEGE,5 SORBY ADAMS DRIVE,357691,Potong Pasir NE10,"SBSTransit: 8, 26, 31, 90, 142 ,151, 154 (Diocese of Singapore) SMRT Buses:  857, 966, 985 (Diocese of Singapore),  853 (Upper Serangoon Road)",TOA PAYOH,CO-ED SCHOOL,JUNIOR COLLEGE
11,NANYANG JUNIOR COLLEGE,128 SERANGOON AVENUE 3,556111,2-minute walk from the Lorong Chuan MRT Station (Circle Line),"22, 24, 53, 73, 133, 105, 135, 136, 156, 853",SERANGOON,CO-ED SCHOOL,JUNIOR COLLEGE
12,HWA CHONG INSTITUTION,661 BUKIT TIMAH ROAD,269734,TAN KAH KEE MRT,"66, 67, 74, 151, 154, 156, 157, 170, 171, 174, 852, 961",BUKIT TIMAH,CO-ED SCHOOL,MIXED LEVEL
13,MILLENNIA INSTITUTE,60 BUKIT BATOK WEST AVENUE 8,658965,Bukit Batok (NS-2),"66, 157, 174, 174E, 506 , 178, 941, 174M - Night",BUKIT BATOK,CO-ED SCHOOL,CENTRALISED INSTITUTE
14,BUKIT PANJANG PRIMARY SCHOOL,109 CASHEW ROAD,679676,From Pending LRT station to Choa Chu Kang MRT station,"75, 184",BUKIT PANJANG,CO-ED SCHOOL,PRIMARY
15,HAIG GIRLS' SCHOOL,51 KOON SENG ROAD,427072,"Eunos, Dakota","16,33",GEYLANG,GIRLS' SCHOOL,PRIMARY
16,TECK WHYE PRIMARY SCHOOL,11 TECK WHYE WALK,688261,Chua Chu Kang MRT & LRTs,"975, 190 & 985",CHOA CHU KANG,CO-ED SCHOOL,PRIMARY
17,JURONG PRIMARY SCHOOL,320 JURONG EAST STREET 32,609476,"Lakeside MRT Station, Jurong East MRT Station",333,JURONG EAST,CO-ED SCHOOL,PRIMARY
18,QUEENSTOWN PRIMARY SCHOOL,310 MARGARET DR,149303,Queenstown MRT,"32, 111, 145, 195",QUEENSTOWN,CO-ED SCHOOL,PRIMARY
19,RADIN MAS PRIMARY SCHOOL,1 BUKIT PURMEI AVENUE,99840,Tiong Bahru MRT HarbourFront MRT,"SBS 123, 131, 275 SBS 65",BUKIT MERAH,CO-ED SCHOOL,PRIMARY
20,RAFFLES GIRLS' PRIMARY SCHOOL,21 HILLCREST ROAD,289072,TAN KAH KEE MRT STATION,"66, 67, 74, 151, 154, 156, 157, 170, 171, 174, 852, 961",BUKIT TIMAH,GIRLS' SCHOOL,PRIMARY
21,ROSYTH SCHOOL,21 SERANGOON NORTH AVENUE 4,555855,"Ang Mo Kio, Serangoon","73, 315, 116",SERANGOON,CO-ED SCHOOL,PRIMARY
22,DAMAI PRIMARY SCHOOL,52 BEDOK RESERVOIR CRESCENT,479226,Bedok North MRT Station,"Bus 228,66,65,22,21,5 and 506",BEDOK,CO-ED SCHOOL,PRIMARY
23,FUHUA PRIMARY SCHOOL,65 JURONG EAST STREET 13,609647,JURONG EAST MRT STATION,"51,66,66B,78,79,97,97A,98,105,105B,143,176,197,333,334,335,506",JURONG EAST,CO-ED SCHOOL,PRIMARY
24,WOODLANDS PRIMARY SCHOOL,10 WOODLANDS DRIVE 50,738853,Woodlands,912 & 912E,WOODLANDS,CO-ED SCHOOL,PRIMARY
25,EUNOS PRIMARY SCHOOL,95 JALAN EUNOS,419529,Nearest MRT Station - Eunos,"Bus Services (SBS): 15, 21, 25, 51, 55, 63, 93, 94, 60 Bus Services (SMRT) : 61, 854, 966",GEYLANG,CO-ED SCHOOL,PRIMARY
26,HENRY PARK PRIMARY SCHOOL,1 HOLLAND GROVE ROAD,278790,"Buona Vista MRT, Clementi MRT","7, 61, 75, 156, 157, 165, 92",BUKIT TIMAH,CO-ED SCHOOL,PRIMARY
27,BENDEMEER PRIMARY SCHOOL,91 BENDEMEER ROAD,339948,"Boon Keng, Kallang","13 23 31 61 64 65 65M 66 125, 125X ,133,140,147,853,857,985",KALLANG,CO-ED SCHOOL,PRIMARY
28,CORPORATION PRIMARY SCHOOL,31 JURONG WEST STREET 24,648347,BOON LAY STATION LAKESIDE STATION,"157 (from Boon Lay Interchange), or 185",JURONG WEST,CO-ED SCHOOL,PRIMARY
29,YIO CHU KANG PRIMARY SCHOOL,1 HOUGANG STREET 51,538720,Hougang MRT Station Yio Chu Kang MRT Station,"88,101,109,159,161 and 325",HOUGANG,CO-ED SCHOOL,PRIMARY
30,BLANGAH RISE PRIMARY SCHOOL,91 TELOK BLANGAH HEIGHTS,109100,"Telok Blangah, Tiong Bahru & Redhill",SBS 273 & 124,BUKIT MERAH,CO-ED SCHOOL,PRIMARY
31,ANG MO KIO PRIMARY SCHOOL,20 ANG MO KIO AVENUE 3,569920,Ang Mo Kio MRT Station,"76,132,165,166,169,265,268,269",ANG MO KIO,CO-ED SCHOOL,PRIMARY
32,MAYFLOWER PRIMARY SCHOOL,200 ANG MO KIO AVE 5,569878,Yio Chu Kang MRT Station.,"13,86,138,162,269,851,852,853.",ANG MO KIO,CO-ED SCHOOL,PRIMARY
33,TECK GHEE PRIMARY SCHOOL,1 ANG MO KIO STREET 32,569299,Ang Mo Kio & Bishan,"22,24,135,853,162,262,159",ANG MO KIO,CO-ED SCHOOL,PRIMARY
34,TEMASEK PRIMARY SCHOOL,501 BEDOK SOUTH AVE 3,469300,Tanah Merah MRT,"229, 10, 14, 13, 48, 43, 506",BEDOK,CO-ED SCHOOL,PRIMARY
35,SI LING PRIMARY SCHOOL,61 WOODLANDS AVENUE 1,739067,Woodlands,912 from Woodlands Interchange,WOODLANDS,CO-ED SCHOOL,PRIMARY
36,JING SHAN PRIMARY SCHOOL,5 ANG MO KIO ST 52,569228,Ang Mo Kio MRT,Bus 265,ANG MO KIO,CO-ED SCHOOL,PRIMARY
37,YISHUN PRIMARY SCHOOL,500 YISHUN RING ROAD,768679,Yishun,Translink Feeder Service 800 & 812,YISHUN,CO-ED SCHOOL,PRIMARY
38,STAMFORD PRIMARY SCHOOL,1 VICTORIA LANE,198423,Bugis MRT Station.,"Along Victoria Street:2,7,12,32,33,61,62,63,80,130,133,145,197,NR8.",CENTRAL,CO-ED SCHOOL,PRIMARY
39,FERNVALE PRIMARY SCHOOL,1 FERNVALE LANE,797701,Fernvale LRT (Sengkang West Loop),"Sengkang and Toa Payoh interchange - no 163, Along Yio Chu Kang Road, - no 70, 86, 103 and 854.",SENG KANG,CO-ED SCHOOL,PRIMARY
40,TOWNSVILLE PRIMARY SCHOOL,3 ANG MO KIO AVE 10,569730,"Bishan MRT, Ang Mo Kio MRT Stations","45, 50, 55, 261, 548, 22, 24, 128, 135, 159, 162, 162M, 262, 853",ANG MO KIO,CO-ED SCHOOL,PRIMARY
41,RULANG PRIMARY SCHOOL,6 JURONG WEST STREET 52,649295,Lakeside,SBS 335,JURONG WEST,CO-ED SCHOOL,PRIMARY
42,QIFA PRIMARY SCHOOL,50 WEST COAST AVENUE,128104,Clementi MRT Station,"30,51,78,143,285",CLEMENTI,CO-ED SCHOOL,PRIMARY
43,ZHANGDE PRIMARY SCHOOL,51 JALAN MEMBINA,169485,Tiong Bahru MRT Station,"16,33,63,123,195,605,851,14,65,147,167,196,197,961",BUKIT MERAH,CO-ED SCHOOL,PRIMARY
44,TAMPINES PRIMARY SCHOOL,250 TAMPINES STREET 12,529426,Tampines MRT,"8, 10, 17,18, 27, 31, 65, 292, 293, or any bus going into Tampines Interchange",TAMPINES,CO-ED SCHOOL,PRIMARY
45,CHONGZHENG PRIMARY SCHOOL,1 TAMPINES STREET 21,529392,Tampines MRT Station,"3,17,18",TAMPINES,CO-ED SCHOOL,PRIMARY
46,XINGHUA PRIMARY SCHOOL,45 HOUGANG AVENUE 1,538882,Kovan MRT Station,"Bus services 53, 62, 112, 113, 115",HOUGANG,CO-ED SCHOOL,PRIMARY
47,JIEMIN PRIMARY SCHOOL,2 YISHUN STREET 71,768515,Yishun MRT Station,"167,169,171,800,811,812,856,858,859,969,980",YISHUN,CO-ED SCHOOL,PRIMARY
48,FUCHUN PRIMARY SCHOOL,23 WOODLANDS AVENUE 1,739063,Marsiling,"187,856,912,925,950,960,961,963,963E,963R,966",WOODLANDS,CO-ED SCHOOL,PRIMARY
49,BUKIT VIEW PRIMARY SCHOOL,18 BUKIT BATOK STREET 21,659634,Bukit Batok MRT Station,"173,157,178,852,66,106,61,506,963,77",BUKIT BATOK,CO-ED SCHOOL,PRIMARY
50,CEDAR PRIMARY SCHOOL,15 CEDAR AVENUE,349700,Potong Pasir MRT Station,8; 61; 65; 66; 100; 135; 154;,TOA PAYOH,CO-ED SCHOOL,PRIMARY
51,OPERA ESTATE PRIMARY SCHOOL,48 FIDELIO STREET,458436,"Bedok, Kembangan",42,BEDOK,CO-ED SCHOOL,PRIMARY
52,RIVER VALLEY PRIMARY SCHOOL,2 RIVER VALLEY GREEN,237993,Somerset MRT,"5, 16, 32, 54, 65, 75, 175, 970",CENTRAL,CO-ED SCHOOL,PRIMARY
53,TELOK KURAU PRIMARY SCHOOL,50 BEDOK RESERVOIR RD,479239,Eunos MRT (nearest),"8, 15, 22, 55, 65, 60,66, 87 & 506",BEDOK,CO-ED SCHOOL,PRIMARY
54,YUMIN PRIMARY SCHOOL,3 TAMPINES STREET 21,529393,Tampines MRT Station,na,TAMPINES,CO-ED SCHOOL,PRIMARY
55,SHUQUN PRIMARY SCHOOL,8 JURONG WEST STREET 51,649332,W11 Lakeside,"98, 187, 335",JURONG WEST,CO-ED SCHOOL,PRIMARY
56,GAN ENG SENG PRIMARY SCHOOL,100 REDHILL CLOSE,158901,Redhill,"14, 63, 147, 196, 197, 855, 961",BUKIT MERAH,CO-ED SCHOOL,PRIMARY
57,GONGSHANG PRIMARY SCHOOL,1 TAMPINES STREET 42,529176,Tampines,"8,18,21,38,81",TAMPINES,CO-ED SCHOOL,PRIMARY
58,HUAMIN PRIMARY SCHOOL,530 YISHUN RING ROAD,768680,Yishun MRT Station,"806, 804",YISHUN,CO-ED SCHOOL,PRIMARY
59,XISHAN PRIMARY SCHOOL,8 YISHUN STREET 21,768611,Yishun MRT Station,"SMRT 800,801 from Yishun Interchange",YISHUN,CO-ED SCHOOL,PRIMARY
60,PRINCESS ELIZABETH PRIMARY SCHOOL,30 BUKIT BATOK WEST AVENUE 3,659163,Bukit Batok MRT Station,"Bus 174, 157, 178, 66, 941",BUKIT BATOK,CO-ED SCHOOL,PRIMARY
61,DAZHONG PRIMARY SCHOOL,35 BUKIT BATOK STREET 31,659441,Bukit Gombak,"187, 188",BUKIT BATOK,CO-ED SCHOOL,PRIMARY
62,BEDOK GREEN PRIMARY SCHOOL,1 BEDOK SOUTH AVE 2,469317,"Bedok MRT Station, Tanah Merah MRT Station","Bus No. 2, 9, 12, 24, 31, 34 & 38",BEDOK,CO-ED SCHOOL,PRIMARY
63,LIANHUA PRIMARY SCHOOL,2 BUKIT BATOK STREET 52,659243,Bukit Gombak/Bukit Batok,945,BUKIT BATOK,CO-ED SCHOOL,PRIMARY
64,ZHONGHUA PRIMARY SCHOOL,12 SERANGOON AVENUE 4,556095,"Ang Mo Kio MRT, Bishan MRT, Serangoon MRT","Boundary Road: 22,24,53,105,156,315,853,501,502 Yio Chu Kang Road: 70,76,103,147,156,501,502",SERANGOON,CO-ED SCHOOL,PRIMARY
65,PEIYING PRIMARY SCHOOL,651 YISHUN RING ROAD,768687,Khatib,"851, 852, 853, 854, 855",YISHUN,CO-ED SCHOOL,PRIMARY
66,KEMING PRIMARY SCHOOL,90 BUKIT BATOK EAST AVENUE 6,659762,Bukit Batok,"61,66,77,106,157,174,178,963",BUKIT BATOK,CO-ED SCHOOL,PRIMARY
67,CHANGKAT PRIMARY SCHOOL,11 SIMEI ST 3,529896,Simei MRT Station,"9,38,5",TAMPINES,CO-ED SCHOOL,PRIMARY
68,ZHENGHUA PRIMARY SCHOOL,9 FAJAR ROAD,679002,LRT: Fajar Station,"190, 184, 187, 700, 700A, 921",BUKIT PANJANG,CO-ED SCHOOL,PRIMARY
69,SOUTH VIEW PRIMARY SCHOOL,6 CHOA CHU KANG CENTRAL,689762,Choa Chu Kang MRT Station,307 / South View LRT Station,CHOA CHU KANG,CO-ED SCHOOL,PRIMARY
70,PASIR RIS PRIMARY SCHOOL,5 PASIR RIS STREET 21,518968,Pasir Ris MRT,3,PASIR RIS,CO-ED SCHOOL,PRIMARY
71,CHUA CHU KANG PRIMARY SCHOOL,20 CHOA CHU KANG AVENUE 2,689905,Choa Chu Kang MRT Station and Southview LRT Station,Bus Service 300,CHOA CHU KANG,CO-ED SCHOOL,PRIMARY
72,GREENRIDGE PRIMARY SCHOOL,11 JELAPANG ROAD,677744,"Senja LRT station, Jelapang LRT Station","Bus 920, 922, 972",BUKIT PANJANG,CO-ED SCHOOL,PRIMARY
73,FARRER PARK PRIMARY SCHOOL,2 FARRER PARK ROAD,217567,Farrer Park MRT Station,131,KALLANG,CO-ED SCHOOL,PRIMARY
74,BUKIT TIMAH PRIMARY SCHOOL,111 LORONG KISMIS,598112,"Beauty World, Bukit Batok and Clementi Stations",173,BUKIT TIMAH,CO-ED SCHOOL,PRIMARY
75,LAKESIDE PRIMARY SCHOOL,161 CORPORATION WALK,618310,Lakeside MRT,"98, 98A, 30",JURONG WEST,CO-ED SCHOOL,PRIMARY
76,BEACON PRIMARY SCHOOL,36 BUKIT PANJANG RING ROAD,679944,Bangkit LRT,"920, 922",BUKIT PANJANG,CO-ED SCHOOL,PRIMARY
77,INNOVA PRIMARY SCHOOL,80 WOODLANDS DRIVE 17,737888,Woodlands,"900A (weekdays only - 7.00 am to 8.30 am & 4.30 pm to 6.30 pm), 901",WOODLANDS,CO-ED SCHOOL,PRIMARY
78,GREENDALE PRIMARY SCHOOL,50 EDGEDALE PLAINS,828848,Punggol LRT:  Coral Edge,"3,62, 83, 85, 389",PUNGGOL,CO-ED SCHOOL,PRIMARY
79,ENDEAVOUR PRIMARY SCHOOL,10 ADMIRALTY LINK,757521,Sembawang MRT Station,"859, 962",SEMBAWANG,CO-ED SCHOOL,PRIMARY
80,NORTH VISTA PRIMARY SCHOOL,20 COMPASSVALE LINK,544974,"Buangkok MRT (NE15), Ranggung LRT (SE5)",na,SENG KANG,CO-ED SCHOOL,PRIMARY
81,ANCHOR GREEN PRIMARY SCHOOL,31 ANCHORVALE DRIVE,544969,MRT : NE16-Sengkang LRT : SW7-TongKang,Bus 163 & 372,SENG KANG,CO-ED SCHOOL,PRIMARY
82,HORIZON PRIMARY SCHOOL,61 EDGEDALE PLAINS,828819,Punggol MRT Station,"83, 85, 3",PUNGGOL,CO-ED SCHOOL,PRIMARY
83,CANTONMENT PRIMARY SCHOOL,1 CANTONMENT CLOSE,88256,Tanjong Pagar Outram,na,BUKIT MERAH,CO-ED SCHOOL,PRIMARY
84,FRONTIER PRIMARY SCHOOL,20 JURONG WEST STREET 61,648200,Pioneer MRT Station (EW28),241,JURONG WEST,CO-ED SCHOOL,PRIMARY
85,WESTWOOD PRIMARY SCHOOL,1 JURONG WEST STREET 73,649188,Boon Lay MRT Station,"181, 502 & 243",JURONG WEST,CO-ED SCHOOL,PRIMARY
86,PUNGGOL GREEN PRIMARY SCHOOL,98 PUNGGOL WALK,828772,Punggol MRT Station,na,PUNGGOL,CO-ED SCHOOL,PRIMARY
87,PUNGGOL VIEW PRIMARY SCHOOL,9 PUNGGOL PLACE,828845,Punggol MRT Station,50 382,PUNGGOL,CO-ED SCHOOL,PRIMARY
88,SENGKANG GREEN PRIMARY SCHOOL,15 FERNVALE ROAD,797636,Fernvale LRT (SW5) - (Sengkang West Loop),"Sengkang and Toa Payoh interchange - no 163, Along Yio Chu Kang Road, - no 70, 86, 103 and 854.Punggol Temp Interchange to Bishan Interchange - Bus 50",SENG KANG,CO-ED SCHOOL,PRIMARY
89,SPRINGDALE PRIMARY SCHOOL,71 ANCHORVALE LINK,544799,Sengkang Station (NE16)  Nearest LRT station: Farmway  *10-15 min walk from either station,"50, 85, 102, 372    Nearest Bus Stop: In front of Blk 326 Car Park  *1-2 min walk from bus stop; enter by Main Gate along Anchorvale Link or Rear Gate",SENG KANG,CO-ED SCHOOL,PRIMARY
90,PALM VIEW PRIMARY SCHOOL,150 COMPASSVALE BOW,544822,Buangkok,"27,43,109,156,159,161,163,163M,550",SENG KANG,CO-ED SCHOOL,PRIMARY
91,RIVERSIDE PRIMARY SCHOOL,110 WOODLANDS CRESCENT,737803,Admiralty MRT Station,Bus No 913 and Bus No 964,WOODLANDS,CO-ED SCHOOL,PRIMARY
92,WEST SPRING PRIMARY SCHOOL,60 BUKIT PANJANG RING ROAD,679946,Jelapang LRT,"920, 922",BUKIT PANJANG,CO-ED SCHOOL,PRIMARY
93,ALEXANDRA PRIMARY SCHOOL,2A PRINCE CHARLES CRESCENT,159016,Redhill Station  Tiong Bahru Station,"51, 139, 186, 970.",BUKIT MERAH,CO-ED SCHOOL,PRIMARY
94,NORTHOAKS PRIMARY SCHOOL,61 SEMBAWANG DRIVE,757622,Sembawang MRT,Bus number 962,SEMBAWANG,CO-ED SCHOOL,PRIMARY
95,ANGSANA PRIMARY SCHOOL,3 TAMPINES STREET 22,529366,Tampines and Simei Stations,"Bus Service 8, 17, 18, 28, 34, 39, 59, 518, Feeder Bus Service 292",TAMPINES,CO-ED SCHOOL,PRIMARY
96,PUNGGOL COVE PRIMARY SCHOOL,52 SUMANG WALK,828674,Nibong LRT Station,na,PUNGGOL,CO-ED SCHOOL,PRIMARY
97,OASIS PRIMARY SCHOOL,71 EDGEFIELD PLAINS,828716,Damai LRT Station,"50, 386",PUNGGOL,CO-ED SCHOOL,PRIMARY
98,WATERWAY PRIMARY SCHOOL,70 PUNGGOL DRIVE,828802,Kadaloor LRT Station,"50, 381",PUNGGOL,CO-ED SCHOOL,PRIMARY
99,FERN GREEN PRIMARY SCHOOL,70 FERNVALE LINK,797538,Kupang LRT Station (SW3),"85, 102",SENG KANG,CO-ED SCHOOL,PRIMARY
100,FIRST TOA PAYOH PRIMARY SCHOOL,7 LORONG 8 TOA PAYOH,319252,Braddell & Toa Payoh Stations,"157,153,105,159,88,FS238",TOA PAYOH,CO-ED SCHOOL,PRIMARY
101,NEW TOWN PRIMARY SCHOOL,300 TANGLIN HALT ROAD,148812,Commonwealth MRT Station,"SBS Numbers 32, 100, 105, 111, 145, 147, 195, 196, 198, 855",QUEENSTOWN,CO-ED SCHOOL,PRIMARY
102,BOON LAY GARDEN PRIMARY SCHOOL,20 BOON LAY DRIVE,649930,Lakeside & Boon Lay,"30,99,154,178,180,187,240,246",JURONG WEST,CO-ED SCHOOL,PRIMARY
103,MARSILING PRIMARY SCHOOL,31 WOODLANDS CENTRE ROAD,738927,Marsiling MRT Station,"856, 911, 912",WOODLANDS,CO-ED SCHOOL,PRIMARY
104,PEI TONG PRIMARY SCHOOL,15 CLEMENTI AVENUE 5,129857,Clementi,"7, 184, 282",CLEMENTI,CO-ED SCHOOL,PRIMARY
105,YUHUA PRIMARY SCHOOL,158 JURONG EAST STREET 24,609558,"Jurong East, Bukit Batok","98,98A,187,333,502,507,NR5",JURONG EAST,CO-ED SCHOOL,PRIMARY
106,FENGSHAN PRIMARY SCHOOL,307 BEDOK NORTH ROAD,469680,Bedok MRT,"18, 228, 222, 17, 69, 66, 67, 168, 28, 506, 14, 45",BEDOK,CO-ED SCHOOL,PRIMARY
107,YU NENG PRIMARY SCHOOL,56 BEDOK NORTH ST 3,469623,Bedok MRT Station,"14, 17, 18, 28, 66, 67, 69, 225",BEDOK,CO-ED SCHOOL,PRIMARY
108,XINMIN PRIMARY SCHOOL,9 HOUGANG AVENUE 8,538784,Nil,"74, 147, 165, 112",HOUGANG,CO-ED SCHOOL,PRIMARY
109,YANGZHENG PRIMARY SCHOOL,15 SERANGOON AVENUE 3,556108,Serangoon Station,"58 & 105 (Outside the school, Serangoon Ave 3) 133 & 135(Serangoon Ave 2)",SERANGOON,CO-ED SCHOOL,PRIMARY
110,JUYING PRIMARY SCHOOL,31 JURONG WEST STREET 91,649037,Boon Lay MRT Station (Jurong Point),SBS 99 (From Clementi Inter-change) SBS 241 (From Boon Lay Inter-change),JURONG WEST,CO-ED SCHOOL,PRIMARY
111,JUNYUAN PRIMARY SCHOOL,2 TAMPINES STREET 91,528906,Tampines,"5, 8, 10, 15, 18, 21, 22, 23, 27, 28, 31, 34, 39, 59, 65, 67, 168, 292, 293",TAMPINES,CO-ED SCHOOL,PRIMARY
112,NORTHLAND PRIMARY SCHOOL,15 YISHUN AVENUE 4,769026,Yishun MRT Station,812 (next to bus service number 171) at Yishun Interchange,YISHUN,CO-ED SCHOOL,PRIMARY
113,NAVAL BASE PRIMARY SCHOOL,7 YISHUN AVE 4,769028,Yishun MRT Station,Feeder bus No. 811 from Yishun Interchange.,YISHUN,CO-ED SCHOOL,PRIMARY
114,XINGNAN PRIMARY SCHOOL,5 JURONG WEST STREET 91,649036,Pioneer MRT Station,Bus 99 & 241,JURONG WEST,CO-ED SCHOOL,PRIMARY
115,QIHUA PRIMARY SCHOOL,5 WOODLANDS STREET 81,738525,Woodlands MRT Station,911,WOODLANDS,CO-ED SCHOOL,PRIMARY
116,GUANGYANG PRIMARY SCHOOL,6 BISHAN STREET 12,579806,Bishan MRT,"13,52,54,55,56,57,59,88,93,156,157,163,410",BISHAN,CO-ED SCHOOL,PRIMARY
117,TAMPINES NORTH PRIMARY SCHOOL,30 TAMPINES AVENUE 9,529565,Tampines MRT,"SBS Transit 28, 29, 293",TAMPINES,CO-ED SCHOOL,PRIMARY
118,ELIAS PARK PRIMARY SCHOOL,11 PASIR RIS STREET 52,518866,Pasir Ris MRT,"3, 15, 39, 53, 81, 88, 89, 357, 403, 518",PASIR RIS,CO-ED SCHOOL,PRIMARY
119,AHMAD IBRAHIM PRIMARY SCHOOL,10 YISHUN STREET 11,768643,Yishun,"Yishun Ring Road - 812 (white plate); Yishun Ave 2 - 169, 804, 965, 117, 883",YISHUN,CO-ED SCHOOL,PRIMARY
120,NORTH VIEW PRIMARY SCHOOL,210 YISHUN AVENUE 6,768960,Yishun,Feeder Service 804 & 806,YISHUN,CO-ED SCHOOL,PRIMARY
121,PIONEER PRIMARY SCHOOL,23 JURONG WEST STREET 81,649076,Boon Lay Station,243,JURONG WEST,CO-ED SCHOOL,PRIMARY
122,PUNGGOL PRIMARY SCHOOL,61 HOUGANG AVENUE 8,538787,"Hougang, Buangkok",62 74 88 113 147 325,HOUGANG,CO-ED SCHOOL,PRIMARY
123,PARK VIEW PRIMARY SCHOOL,60 PASIR RIS DRIVE 1,519524,Pasir Ris MRT Station,"358,39,53,81,89",PASIR RIS,CO-ED SCHOOL,PRIMARY
124,ADMIRALTY PRIMARY SCHOOL,11 WOODLANDS CIRCLE,738907,Admiralty Station,"TIBS 965, 964, 913",WOODLANDS,CO-ED SCHOOL,PRIMARY
125,KRANJI PRIMARY SCHOOL,11 CHOA CHU KANG STREET 54,689189,Yew Tee MRT,"Bus No 307, 302",CHOA CHU KANG,CO-ED SCHOOL,PRIMARY
126,SENG KANG PRIMARY SCHOOL,21 COMPASSVALE WALK,545166,Sengkang MRT,"27, 80, 82, 83, 86, 87, 88, 89, 119, 156, 163, 371, 372 & 965",SENG KANG,CO-ED SCHOOL,PRIMARY
127,WOODLANDS RING PRIMARY SCHOOL,11 WOODLANDS RING ROAD,738240,Admiralty MRT Station,912,WOODLANDS,CO-ED SCHOOL,PRIMARY
128,WEST VIEW PRIMARY SCHOOL,31 SENJA ROAD,677742,"CCK MRT, SENJA LRT (A13)","170,171,176,178,180,187,190,960,961,963",BUKIT PANJANG,CO-ED SCHOOL,PRIMARY
129,WHITE SANDS PRIMARY SCHOOL,2 PASIR RIS ST 11,519075,Pasir Ris MRT Station,"12, 17, 21, 39, 53, 81, 518, 109",PASIR RIS,CO-ED SCHOOL,PRIMARY
130,UNITY PRIMARY SCHOOL,21 CHOA CHU KANG CRESCENT,688268,Yew Tee MRT,TIBs 302,CHOA CHU KANG,CO-ED SCHOOL,PRIMARY
131,CANBERRA PRIMARY SCHOOL,21 ADMIRALTY DRIVE,757714,Sembawang MRT Station,Bus No. 859,SEMBAWANG,CO-ED SCHOOL,PRIMARY
132,RIVERVALE PRIMARY SCHOOL,80 RIVERVALE DRIVE,545092,Nearest LRT Station : Rumbia,Bus Service 86.,SENG KANG,CO-ED SCHOOL,PRIMARY
133,JURONG WEST PRIMARY SCHOOL,30 JURONG WEST ST 61,648368,Pioneer MRT Station,192,JURONG WEST,CO-ED SCHOOL,PRIMARY
134,EAST SPRING PRIMARY SCHOOL,31 TAMPINES ST 33,529258,Tampines,"291, 28",TAMPINES,CO-ED SCHOOL,PRIMARY
135,EVERGREEN PRIMARY SCHOOL,31 WOODLANDS CIRCLE,738908,Admiralty,"913(front), 911 & 858(back)",WOODLANDS,CO-ED SCHOOL,PRIMARY
136,COMPASSVALE PRIMARY SCHOOL,21 COMPASSVALE ST,545091,Sengkang,"83 (along Compassvale Street) 27, 89, 89E & 965 (along Compassvale Road).",SENG KANG,CO-ED SCHOOL,PRIMARY
137,WOODGROVE PRIMARY SCHOOL,2 WOODLANDS DRIVE 14,738079,Woodlands MRT Station,901,WOODLANDS,CO-ED SCHOOL,PRIMARY
