,school_name,full_add,postal_code,mrt_desc,bus_desc,dgp_code,nature_code,mainlevel_code,latlong
0,NATIONAL JUNIOR COLLEGE,37 HILLCREST ROAD,288913,"BOTANIC GARDENS MRT, TAN KAH KEE MRT, SIXTH AVENUE MRT","151, 154, 156, 157, 170, 170X, 171, 174, 66, 67, 67A, 67W, 74, 852, 961, 961C",BUKIT TIMAH,CO-ED SCHOOL,MIXED LEVEL,"1.33042992800757,103.804458713785"
1,TEMASEK JUNIOR COLLEGE,22 BEDOK SOUTH ROAD,469278,BEDOK MRT,"12, 16, 31, 38, 47, 137, 155, 196, 197, 229",BEDOK,CO-ED SCHOOL,MIXED LEVEL,"1.31846190599677,103.93559797008899"
2,VICTORIA JUNIOR COLLEGE,20 MARINE VISTA,449035,"Nearest MRT Stations:  Kembangan, Eunos","13, 16, 31, 36, 43, 48, 55, 135, 196, 196e, 197",BEDOK,CO-ED SCHOOL,JUNIOR COLLEGE,"1.3057179654943,103.919531033331"
3,EUNOIA JUNIOR COLLEGE,53 MOUNT SINAI ROAD,276880,"Buona Vista MRT Station, Dover MRT Station","92, 100, 105, 106, 111, 147, 185",BISHAN,CO-ED SCHOOL,JUNIOR COLLEGE,"1.3137449647427601,103.786441132957"
4,ANDERSON SERANGOON JUNIOR COLLEGE,4500 ANG MO KIO AVENUE 6,569843,Yio Chu Kang MRT Station,"13, 45, 86, 162, 269, 825, 851, 852, 853",ANG MO KIO,CO-ED SCHOOL,JUNIOR COLLEGE,"1.37839670972544,103.845885968342"
5,YISHUN INNOVA JUNIOR COLLEGE,3 YISHUN RING ROAD,768675,"Yishun, Khatib","800, 812, 167, 169, 171, 980",YISHUN,CO-ED SCHOOL,JUNIOR COLLEGE,"1.4246188449173103,103.82963435931299"
6,TAMPINES MERIDIAN JUNIOR COLLEGE,21 PASIR RIS STREET 71,518799,Pasir Ris MRT Station,"3, 39, 53, 81, 89, 109, 358, 518",PASIR RIS,CO-ED SCHOOL,JUNIOR COLLEGE,"1.37674192921325,103.937553253083"
7,JURONG PIONEER JUNIOR COLLEGE,21 TECK WHYE WALK,688258,Choa Chu Kang / Bt Panjang / Phoenix Station (LRT),"975, 190, 985",CHOA CHU KANG,CO-ED SCHOOL,JUNIOR COLLEGE,"1.3846094909961497,103.753932798395"
8,CATHOLIC JUNIOR COLLEGE,129 WHITLEY ROAD,297822,Toa Payoh MRT Station Novena MRT Station Orchard MRT Station,"105, 132, 151, 153, 154, 156, 186, 996, 985",NOVENA,CO-ED SCHOOL,JUNIOR COLLEGE,"1.32464877076272,103.83555142926599"
9,ANGLO-CHINESE JUNIOR COLLEGE,25 DOVER CLOSE EAST,139745,Buona Vista,"74,95,100,105,106,111,145,147,191,196,198,602",QUEENSTOWN,CO-ED SCHOOL,JUNIOR COLLEGE,"1.30328795437359,103.785262975405"
10,ST. ANDREW'S JUNIOR COLLEGE,5 SORBY ADAMS DRIVE,357691,Potong Pasir NE10,"SBSTransit: 8, 26, 31, 90, 142 ,151, 154 (Diocese of Singapore) SMRT Buses:  857, 966, 985 (Diocese of Singapore),  853 (Upper Serangoon Road)",TOA PAYOH,CO-ED SCHOOL,JUNIOR COLLEGE,"1.33278888819869,103.86348127954001"
11,NANYANG JUNIOR COLLEGE,128 SERANGOON AVENUE 3,556111,2-minute walk from the Lorong Chuan MRT Station (Circle Line),"22, 24, 53, 73, 133, 105, 135, 136, 156, 853",SERANGOON,CO-ED SCHOOL,JUNIOR COLLEGE,"1.35028314921864,103.86649872164"
12,HWA CHONG INSTITUTION,661 BUKIT TIMAH ROAD,269734,TAN KAH KEE MRT,"66, 67, 74, 151, 154, 156, 157, 170, 171, 174, 852, 961",BUKIT TIMAH,CO-ED SCHOOL,MIXED LEVEL,"1.32561493280911,103.805730574839"
13,MILLENNIA INSTITUTE,60 BUKIT BATOK WEST AVENUE 8,658965,Bukit Batok (NS-2),"66, 157, 174, 174E, 506 , 178, 941, 174M - Night",BUKIT BATOK,CO-ED SCHOOL,CENTRALISED INSTITUTE,"1.3503192956551298,103.74159355375299"
14,BUKIT PANJANG PRIMARY SCHOOL,109 CASHEW ROAD,679676,From Pending LRT station to Choa Chu Kang MRT station,"75, 184",BUKIT PANJANG,CO-ED SCHOOL,PRIMARY,"1.37347219247538,103.76931748390999"
15,HAIG GIRLS' SCHOOL,51 KOON SENG ROAD,427072,"Eunos, Dakota","16,33",GEYLANG,GIRLS' SCHOOL,PRIMARY,"1.31153911414312,103.90339359209699"
16,TECK WHYE PRIMARY SCHOOL,11 TECK WHYE WALK,688261,Chua Chu Kang MRT & LRTs,"975, 190 & 985",CHOA CHU KANG,CO-ED SCHOOL,PRIMARY,"1.3835583030836698,103.75368281045701"
17,JURONG PRIMARY SCHOOL,320 JURONG EAST STREET 32,609476,"Lakeside MRT Station, Jurong East MRT Station",333,JURONG EAST,CO-ED SCHOOL,PRIMARY,"1.3486845115193702,103.732974782772"
18,QUEENSTOWN PRIMARY SCHOOL,310 MARGARET DR,149303,Queenstown MRT,"32, 111, 145, 195",QUEENSTOWN,CO-ED SCHOOL,PRIMARY,"1.29559366049206,103.80754862413099"
19,RADIN MAS PRIMARY SCHOOL,1 BUKIT PURMEI AVENUE,99840,Tiong Bahru MRT HarbourFront MRT,"SBS 123, 131, 275 SBS 65",BUKIT MERAH,CO-ED SCHOOL,PRIMARY,"1.27496161242002,103.824179967969"
20,RAFFLES GIRLS' PRIMARY SCHOOL,21 HILLCREST ROAD,289072,TAN KAH KEE MRT STATION,"66, 67, 74, 151, 154, 156, 157, 170, 171, 174, 852, 961",BUKIT TIMAH,GIRLS' SCHOOL,PRIMARY,"1.3300739190858402,103.806221335243"
21,ROSYTH SCHOOL,21 SERANGOON NORTH AVENUE 4,555855,"Ang Mo Kio, Serangoon","73, 315, 116",SERANGOON,CO-ED SCHOOL,PRIMARY,"1.37291579617884,103.874693245991"
22,DAMAI PRIMARY SCHOOL,52 BEDOK RESERVOIR CRESCENT,479226,Bedok North MRT Station,"Bus 228,66,65,22,21,5 and 506",BEDOK,CO-ED SCHOOL,PRIMARY,"1.3353513149890301,103.921268322538"
23,FUHUA PRIMARY SCHOOL,65 JURONG EAST STREET 13,609647,JURONG EAST MRT STATION,"51,66,66B,78,79,97,97A,98,105,105B,143,176,197,333,334,335,506",JURONG EAST,CO-ED SCHOOL,PRIMARY,"1.3364037629135102,103.736669454731"
24,WOODLANDS PRIMARY SCHOOL,10 WOODLANDS DRIVE 50,738853,Woodlands,912 & 912E,WOODLANDS,CO-ED SCHOOL,PRIMARY,"1.43674638306535,103.79177169378299"
25,EUNOS PRIMARY SCHOOL,95 JALAN EUNOS,419529,Nearest MRT Station - Eunos,"Bus Services (SBS): 15, 21, 25, 51, 55, 63, 93, 94, 60 Bus Services (SMRT) : 61, 854, 966",GEYLANG,CO-ED SCHOOL,PRIMARY,"1.32438836310048,103.90437479125099"
26,HENRY PARK PRIMARY SCHOOL,1 HOLLAND GROVE ROAD,278790,"Buona Vista MRT, Clementi MRT","7, 61, 75, 156, 157, 165, 92",BUKIT TIMAH,CO-ED SCHOOL,PRIMARY,"1.31672581051653,103.78420830194"
27,BENDEMEER PRIMARY SCHOOL,91 BENDEMEER ROAD,339948,"Boon Keng, Kallang","13 23 31 61 64 65 65M 66 125, 125X ,133,140,147,853,857,985",KALLANG,CO-ED SCHOOL,PRIMARY,"1.32220847517489,103.86535132982999"
28,CORPORATION PRIMARY SCHOOL,31 JURONG WEST STREET 24,648347,BOON LAY STATION LAKESIDE STATION,"157 (from Boon Lay Interchange), or 185",JURONG WEST,CO-ED SCHOOL,PRIMARY,"1.3514854904635802,103.7075783976"
29,YIO CHU KANG PRIMARY SCHOOL,1 HOUGANG STREET 51,538720,Hougang MRT Station Yio Chu Kang MRT Station,"88,101,109,159,161 and 325",HOUGANG,CO-ED SCHOOL,PRIMARY,"1.3778227088538102,103.885568719387"
30,BLANGAH RISE PRIMARY SCHOOL,91 TELOK BLANGAH HEIGHTS,109100,"Telok Blangah, Tiong Bahru & Redhill",SBS 273 & 124,BUKIT MERAH,CO-ED SCHOOL,PRIMARY,"1.27613030444272,103.808639211285"
31,ANG MO KIO PRIMARY SCHOOL,20 ANG MO KIO AVENUE 3,569920,Ang Mo Kio MRT Station,"76,132,165,166,169,265,268,269",ANG MO KIO,CO-ED SCHOOL,PRIMARY,"1.36761615151368,103.84421461742201"
32,MAYFLOWER PRIMARY SCHOOL,200 ANG MO KIO AVE 5,569878,Yio Chu Kang MRT Station.,"13,86,138,162,269,851,852,853.",ANG MO KIO,CO-ED SCHOOL,PRIMARY,"1.37639873282244,103.843165756947"
33,TECK GHEE PRIMARY SCHOOL,1 ANG MO KIO STREET 32,569299,Ang Mo Kio & Bishan,"22,24,135,853,162,262,159",ANG MO KIO,CO-ED SCHOOL,PRIMARY,"1.3652006311358702,103.851032163057"
34,TEMASEK PRIMARY SCHOOL,501 BEDOK SOUTH AVE 3,469300,Tanah Merah MRT,"229, 10, 14, 13, 48, 43, 506",BEDOK,CO-ED SCHOOL,PRIMARY,"1.317706781809,103.945590673243"
35,SI LING PRIMARY SCHOOL,61 WOODLANDS AVENUE 1,739067,Woodlands,912 from Woodlands Interchange,WOODLANDS,CO-ED SCHOOL,PRIMARY,"1.4326998657579197,103.785778769275"
36,JING SHAN PRIMARY SCHOOL,5 ANG MO KIO ST 52,569228,Ang Mo Kio MRT,Bus 265,ANG MO KIO,CO-ED SCHOOL,PRIMARY,"1.3719644572011203,103.851763531681"
37,YISHUN PRIMARY SCHOOL,500 YISHUN RING ROAD,768679,Yishun,Translink Feeder Service 800 & 812,YISHUN,CO-ED SCHOOL,PRIMARY,"1.4334963919514,103.83402741410299"
38,STAMFORD PRIMARY SCHOOL,1 VICTORIA LANE,198423,Bugis MRT Station.,"Along Victoria Street:2,7,12,32,33,61,62,63,80,130,133,145,197,NR8.",CENTRAL,CO-ED SCHOOL,PRIMARY,"1.30385959862561,103.856955133139"
39,FERNVALE PRIMARY SCHOOL,1 FERNVALE LANE,797701,Fernvale LRT (Sengkang West Loop),"Sengkang and Toa Payoh interchange - no 163, Along Yio Chu Kang Road, - no 70, 86, 103 and 854.",SENG KANG,CO-ED SCHOOL,PRIMARY,"1.3899793987456799,103.874100979909"
40,TOWNSVILLE PRIMARY SCHOOL,3 ANG MO KIO AVE 10,569730,"Bishan MRT, Ang Mo Kio MRT Stations","45, 50, 55, 261, 548, 22, 24, 128, 135, 159, 162, 162M, 262, 853",ANG MO KIO,CO-ED SCHOOL,PRIMARY,"1.3600326352763101,103.853826054583"
41,RULANG PRIMARY SCHOOL,6 JURONG WEST STREET 52,649295,Lakeside,SBS 335,JURONG WEST,CO-ED SCHOOL,PRIMARY,"1.3468444561617,103.71900982440799"
42,QIFA PRIMARY SCHOOL,50 WEST COAST AVENUE,128104,Clementi MRT Station,"30,51,78,143,285",CLEMENTI,CO-ED SCHOOL,PRIMARY,"1.31262154226307,103.757030040839"
43,ZHANGDE PRIMARY SCHOOL,51 JALAN MEMBINA,169485,Tiong Bahru MRT Station,"16,33,63,123,195,605,851,14,65,147,167,196,197,961",BUKIT MERAH,CO-ED SCHOOL,PRIMARY,"1.2844982197148,103.826148977614"
44,TAMPINES PRIMARY SCHOOL,250 TAMPINES STREET 12,529426,Tampines MRT,"8, 10, 17,18, 27, 31, 65, 292, 293, or any bus going into Tampines Interchange",TAMPINES,CO-ED SCHOOL,PRIMARY,"1.35048639822835,103.943573089534"
45,CHONGZHENG PRIMARY SCHOOL,1 TAMPINES STREET 21,529392,Tampines MRT Station,"3,17,18",TAMPINES,CO-ED SCHOOL,PRIMARY,"1.35059476908517,103.951225249062"
46,XINGHUA PRIMARY SCHOOL,45 HOUGANG AVENUE 1,538882,Kovan MRT Station,"Bus services 53, 62, 112, 113, 115",HOUGANG,CO-ED SCHOOL,PRIMARY,"1.37776288094001,103.89627448704799"
47,JIEMIN PRIMARY SCHOOL,2 YISHUN STREET 71,768515,Yishun MRT Station,"167,169,171,800,811,812,856,858,859,969,980",YISHUN,CO-ED SCHOOL,PRIMARY,"1.42764685183223,103.830480360286"
48,FUCHUN PRIMARY SCHOOL,23 WOODLANDS AVENUE 1,739063,Marsiling,"187,856,912,925,950,960,961,963,963E,963R,966",WOODLANDS,CO-ED SCHOOL,PRIMARY,"1.43063976776387,103.778175192579"
49,BUKIT VIEW PRIMARY SCHOOL,18 BUKIT BATOK STREET 21,659634,Bukit Batok MRT Station,"173,157,178,852,66,106,61,506,963,77",BUKIT BATOK,CO-ED SCHOOL,PRIMARY,"1.34594524614786,103.75358884473499"
50,CEDAR PRIMARY SCHOOL,15 CEDAR AVENUE,349700,Potong Pasir MRT Station,8; 61; 65; 66; 100; 135; 154;,TOA PAYOH,CO-ED SCHOOL,PRIMARY,"1.3356412229768502,103.875491278982"
51,OPERA ESTATE PRIMARY SCHOOL,48 FIDELIO STREET,458436,"Bedok, Kembangan",42,BEDOK,CO-ED SCHOOL,PRIMARY,"1.31996875474463,103.92375266047199"
52,RIVER VALLEY PRIMARY SCHOOL,2 RIVER VALLEY GREEN,237993,Somerset MRT,"5, 16, 32, 54, 65, 75, 175, 970",CENTRAL,CO-ED SCHOOL,PRIMARY,"1.29418347541733,103.836018932052"
53,TELOK KURAU PRIMARY SCHOOL,50 BEDOK RESERVOIR RD,479239,Eunos MRT (nearest),"8, 15, 22, 55, 65, 60,66, 87 & 506",BEDOK,CO-ED SCHOOL,PRIMARY,"1.33833244904871,103.91952701777201"
54,YUMIN PRIMARY SCHOOL,3 TAMPINES STREET 21,529393,Tampines MRT Station,na,TAMPINES,CO-ED SCHOOL,PRIMARY,"1.35145960318231,103.95071612246099"
55,SHUQUN PRIMARY SCHOOL,8 JURONG WEST STREET 51,649332,W11 Lakeside,"98, 187, 335",JURONG WEST,CO-ED SCHOOL,PRIMARY,"1.3475684901703102,103.72155797344601"
56,GAN ENG SENG PRIMARY SCHOOL,100 REDHILL CLOSE,158901,Redhill,"14, 63, 147, 196, 197, 855, 961",BUKIT MERAH,CO-ED SCHOOL,PRIMARY,"1.2859553934148,103.815228207863"
57,GONGSHANG PRIMARY SCHOOL,1 TAMPINES STREET 42,529176,Tampines,"8,18,21,38,81",TAMPINES,CO-ED SCHOOL,PRIMARY,"1.3573489815124,103.94887192549999"
58,HUAMIN PRIMARY SCHOOL,530 YISHUN RING ROAD,768680,Yishun MRT Station,"806, 804",YISHUN,CO-ED SCHOOL,PRIMARY,"1.42757759752107,103.84458963893"
59,XISHAN PRIMARY SCHOOL,8 YISHUN STREET 21,768611,Yishun MRT Station,"SMRT 800,801 from Yishun Interchange",YISHUN,CO-ED SCHOOL,PRIMARY,"1.4334718604912,103.83775532651899"
60,PRINCESS ELIZABETH PRIMARY SCHOOL,30 BUKIT BATOK WEST AVENUE 3,659163,Bukit Batok MRT Station,"Bus 174, 157, 178, 66, 941",BUKIT BATOK,CO-ED SCHOOL,PRIMARY,"1.34919451758526,103.740999625133"
61,DAZHONG PRIMARY SCHOOL,35 BUKIT BATOK STREET 31,659441,Bukit Gombak,"187, 188",BUKIT BATOK,CO-ED SCHOOL,PRIMARY,"1.3616549635564599,103.750874717825"
62,BEDOK GREEN PRIMARY SCHOOL,1 BEDOK SOUTH AVE 2,469317,"Bedok MRT Station, Tanah Merah MRT Station","Bus No. 2, 9, 12, 24, 31, 34 & 38",BEDOK,CO-ED SCHOOL,PRIMARY,"1.32399627634457,103.937745022761"
63,LIANHUA PRIMARY SCHOOL,2 BUKIT BATOK STREET 52,659243,Bukit Gombak/Bukit Batok,945,BUKIT BATOK,CO-ED SCHOOL,PRIMARY,"1.3541550688767499,103.754210374853"
64,ZHONGHUA PRIMARY SCHOOL,12 SERANGOON AVENUE 4,556095,"Ang Mo Kio MRT, Bishan MRT, Serangoon MRT","Boundary Road: 22,24,53,105,156,315,853,501,502 Yio Chu Kang Road: 70,76,103,147,156,501,502",SERANGOON,CO-ED SCHOOL,PRIMARY,"1.3601667352960403,103.869695911447"
65,PEIYING PRIMARY SCHOOL,651 YISHUN RING ROAD,768687,Khatib,"851, 852, 853, 854, 855",YISHUN,CO-ED SCHOOL,PRIMARY,"1.41740819239647,103.83029946802401"
66,KEMING PRIMARY SCHOOL,90 BUKIT BATOK EAST AVENUE 6,659762,Bukit Batok,"61,66,77,106,157,174,178,963",BUKIT BATOK,CO-ED SCHOOL,PRIMARY,"1.3452450526196997,103.756264470434"
67,CHANGKAT PRIMARY SCHOOL,11 SIMEI ST 3,529896,Simei MRT Station,"9,38,5",TAMPINES,CO-ED SCHOOL,PRIMARY,"1.34020800809179,103.95218340147699"
68,ZHENGHUA PRIMARY SCHOOL,9 FAJAR ROAD,679002,LRT: Fajar Station,"190, 184, 187, 700, 700A, 921",BUKIT PANJANG,CO-ED SCHOOL,PRIMARY,"1.3798023610913699,103.76917079696"
69,SOUTH VIEW PRIMARY SCHOOL,6 CHOA CHU KANG CENTRAL,689762,Choa Chu Kang MRT Station,307 / South View LRT Station,CHOA CHU KANG,CO-ED SCHOOL,PRIMARY,"1.3814312398769901,103.747153671"
70,PASIR RIS PRIMARY SCHOOL,5 PASIR RIS STREET 21,518968,Pasir Ris MRT,3,PASIR RIS,CO-ED SCHOOL,PRIMARY,"1.37230861882846,103.962918870593"
71,CHUA CHU KANG PRIMARY SCHOOL,20 CHOA CHU KANG AVENUE 2,689905,Choa Chu Kang MRT Station and Southview LRT Station,Bus Service 300,CHOA CHU KANG,CO-ED SCHOOL,PRIMARY,"1.37760828302594,103.741270440945"
72,GREENRIDGE PRIMARY SCHOOL,11 JELAPANG ROAD,677744,"Senja LRT station, Jelapang LRT Station","Bus 920, 922, 972",BUKIT PANJANG,CO-ED SCHOOL,PRIMARY,"1.3858737543113,103.767814630258"
73,FARRER PARK PRIMARY SCHOOL,2 FARRER PARK ROAD,217567,Farrer Park MRT Station,131,KALLANG,CO-ED SCHOOL,PRIMARY,"1.3125041616206998,103.850902684573"
74,BUKIT TIMAH PRIMARY SCHOOL,111 LORONG KISMIS,598112,"Beauty World, Bukit Batok and Clementi Stations",173,BUKIT TIMAH,CO-ED SCHOOL,PRIMARY,"1.33774986691202,103.766855335531"
75,LAKESIDE PRIMARY SCHOOL,161 CORPORATION WALK,618310,Lakeside MRT,"98, 98A, 30",JURONG WEST,CO-ED SCHOOL,PRIMARY,"1.33837569571571,103.718096899655"
76,BEACON PRIMARY SCHOOL,36 BUKIT PANJANG RING ROAD,679944,Bangkit LRT,"920, 922",BUKIT PANJANG,CO-ED SCHOOL,PRIMARY,"1.3842366769228203,103.773754356751"
77,INNOVA PRIMARY SCHOOL,80 WOODLANDS DRIVE 17,737888,Woodlands,"900A (weekdays only - 7.00 am to 8.30 am & 4.30 pm to 6.30 pm), 901",WOODLANDS,CO-ED SCHOOL,PRIMARY,"1.4291845918565602,103.790557056487"
78,GREENDALE PRIMARY SCHOOL,50 EDGEDALE PLAINS,828848,Punggol LRT:  Coral Edge,"3,62, 83, 85, 389",PUNGGOL,CO-ED SCHOOL,PRIMARY,"1.39640265559057,103.912565965047"
79,ENDEAVOUR PRIMARY SCHOOL,10 ADMIRALTY LINK,757521,Sembawang MRT Station,"859, 962",SEMBAWANG,CO-ED SCHOOL,PRIMARY,"1.45417628963851,103.817427319321"
80,NORTH VISTA PRIMARY SCHOOL,20 COMPASSVALE LINK,544974,"Buangkok MRT (NE15), Ranggung LRT (SE5)",na,SENG KANG,CO-ED SCHOOL,PRIMARY,"1.38289339382803,103.895854152412"
81,ANCHOR GREEN PRIMARY SCHOOL,31 ANCHORVALE DRIVE,544969,MRT : NE16-Sengkang LRT : SW7-TongKang,Bus 163 & 372,SENG KANG,CO-ED SCHOOL,PRIMARY,"1.39052785130705,103.890470348151"
82,HORIZON PRIMARY SCHOOL,61 EDGEDALE PLAINS,828819,Punggol MRT Station,"83, 85, 3",PUNGGOL,CO-ED SCHOOL,PRIMARY,"1.400008810912,103.91307153053002"
83,CANTONMENT PRIMARY SCHOOL,1 CANTONMENT CLOSE,88256,Tanjong Pagar Outram,na,BUKIT MERAH,CO-ED SCHOOL,PRIMARY,"1.2754725284218897,103.83996263446801"
84,FRONTIER PRIMARY SCHOOL,20 JURONG WEST STREET 61,648200,Pioneer MRT Station (EW28),241,JURONG WEST,CO-ED SCHOOL,PRIMARY,"1.33664312205759,103.699682811847"
85,WESTWOOD PRIMARY SCHOOL,1 JURONG WEST STREET 73,649188,Boon Lay MRT Station,"181, 502 & 243",JURONG WEST,CO-ED SCHOOL,PRIMARY,"1.34715462510443,103.700526720098"
86,PUNGGOL GREEN PRIMARY SCHOOL,98 PUNGGOL WALK,828772,Punggol MRT Station,na,PUNGGOL,CO-ED SCHOOL,PRIMARY,"1.40151096874195,103.898525411091"
87,PUNGGOL VIEW PRIMARY SCHOOL,9 PUNGGOL PLACE,828845,Punggol MRT Station,50 382,PUNGGOL,CO-ED SCHOOL,PRIMARY,"1.40514582593193,103.905156378991"
88,SENGKANG GREEN PRIMARY SCHOOL,15 FERNVALE ROAD,797636,Fernvale LRT (SW5) - (Sengkang West Loop),"Sengkang and Toa Payoh interchange - no 163, Along Yio Chu Kang Road, - no 70, 86, 103 and 854.Punggol Temp Interchange to Bishan Interchange - Bus 50",SENG KANG,CO-ED SCHOOL,PRIMARY,"1.39283925109068,103.875158826122"
89,SPRINGDALE PRIMARY SCHOOL,71 ANCHORVALE LINK,544799,Sengkang Station (NE16)  Nearest LRT station: Farmway  *10-15 min walk from either station,"50, 85, 102, 372    Nearest Bus Stop: In front of Blk 326 Car Park  *1-2 min walk from bus stop; enter by Main Gate along Anchorvale Link or Rear Gate",SENG KANG,CO-ED SCHOOL,PRIMARY,"1.39495818021917,103.88989650867201"
90,PALM VIEW PRIMARY SCHOOL,150 COMPASSVALE BOW,544822,Buangkok,"27,43,109,156,159,161,163,163M,550",SENG KANG,CO-ED SCHOOL,PRIMARY,"1.3838407641029502,103.891215105298"
91,RIVERSIDE PRIMARY SCHOOL,110 WOODLANDS CRESCENT,737803,Admiralty MRT Station,Bus No 913 and Bus No 964,WOODLANDS,CO-ED SCHOOL,PRIMARY,"1.4470473428109398,103.801831963297"
92,WEST SPRING PRIMARY SCHOOL,60 BUKIT PANJANG RING ROAD,679946,Jelapang LRT,"920, 922",BUKIT PANJANG,CO-ED SCHOOL,PRIMARY,"1.3828573412502398,103.76201013594101"
93,ALEXANDRA PRIMARY SCHOOL,2A PRINCE CHARLES CRESCENT,159016,Redhill Station  Tiong Bahru Station,"51, 139, 186, 970.",BUKIT MERAH,CO-ED SCHOOL,PRIMARY,"1.29129903505282,103.823940793685"
94,NORTHOAKS PRIMARY SCHOOL,61 SEMBAWANG DRIVE,757622,Sembawang MRT,Bus number 962,SEMBAWANG,CO-ED SCHOOL,PRIMARY,"1.4566668732938897,103.813610010422"
95,ANGSANA PRIMARY SCHOOL,3 TAMPINES STREET 22,529366,Tampines and Simei Stations,"Bus Service 8, 17, 18, 28, 34, 39, 59, 518, Feeder Bus Service 292",TAMPINES,CO-ED SCHOOL,PRIMARY,"1.34857143331007,103.95167302785299"
96,PUNGGOL COVE PRIMARY SCHOOL,52 SUMANG WALK,828674,Nibong LRT Station,na,PUNGGOL,CO-ED SCHOOL,PRIMARY,"1.41156356476307,103.89897036496099"
97,OASIS PRIMARY SCHOOL,71 EDGEFIELD PLAINS,828716,Damai LRT Station,"50, 386",PUNGGOL,CO-ED SCHOOL,PRIMARY,"1.4044092695623702,103.910996435277"
98,WATERWAY PRIMARY SCHOOL,70 PUNGGOL DRIVE,828802,Kadaloor LRT Station,"50, 381",PUNGGOL,CO-ED SCHOOL,PRIMARY,"1.3991542100732601,103.918670764176"
99,FERN GREEN PRIMARY SCHOOL,70 FERNVALE LINK,797538,Kupang LRT Station (SW3),"85, 102",SENG KANG,CO-ED SCHOOL,PRIMARY,"1.3976207833879501,103.880210077489"
100,FIRST TOA PAYOH PRIMARY SCHOOL,7 LORONG 8 TOA PAYOH,319252,Braddell & Toa Payoh Stations,"157,153,105,159,88,FS238",TOA PAYOH,CO-ED SCHOOL,PRIMARY,"1.34052616485417,103.855667534587"
101,NEW TOWN PRIMARY SCHOOL,300 TANGLIN HALT ROAD,148812,Commonwealth MRT Station,"SBS Numbers 32, 100, 105, 111, 145, 147, 195, 196, 198, 855",QUEENSTOWN,CO-ED SCHOOL,PRIMARY,"1.2998113888405802,103.799964819895"
102,BOON LAY GARDEN PRIMARY SCHOOL,20 BOON LAY DRIVE,649930,Lakeside & Boon Lay,"30,99,154,178,180,187,240,246",JURONG WEST,CO-ED SCHOOL,PRIMARY,"1.3432661507268602,103.715411866571"
103,MARSILING PRIMARY SCHOOL,31 WOODLANDS CENTRE ROAD,738927,Marsiling MRT Station,"856, 911, 912",WOODLANDS,CO-ED SCHOOL,PRIMARY,"1.4344231166861101,103.773697721298"
104,PEI TONG PRIMARY SCHOOL,15 CLEMENTI AVENUE 5,129857,Clementi,"7, 184, 282",CLEMENTI,CO-ED SCHOOL,PRIMARY,"1.31614801734414,103.76757626402299"
105,YUHUA PRIMARY SCHOOL,158 JURONG EAST STREET 24,609558,"Jurong East, Bukit Batok","98,98A,187,333,502,507,NR5",JURONG EAST,CO-ED SCHOOL,PRIMARY,"1.3429198162201699,103.74086114887899"
106,FENGSHAN PRIMARY SCHOOL,307 BEDOK NORTH ROAD,469680,Bedok MRT,"18, 228, 222, 17, 69, 66, 67, 168, 28, 506, 14, 45",BEDOK,CO-ED SCHOOL,PRIMARY,"1.33032495471395,103.931885376418"
107,YU NENG PRIMARY SCHOOL,56 BEDOK NORTH ST 3,469623,Bedok MRT Station,"14, 17, 18, 28, 66, 67, 69, 225",BEDOK,CO-ED SCHOOL,PRIMARY,"1.3339038086212,103.93203405271"
108,XINMIN PRIMARY SCHOOL,9 HOUGANG AVENUE 8,538784,Nil,"74, 147, 165, 112",HOUGANG,CO-ED SCHOOL,PRIMARY,"1.3714147257620002,103.883039143647"
109,YANGZHENG PRIMARY SCHOOL,15 SERANGOON AVENUE 3,556108,Serangoon Station,"58 & 105 (Outside the school, Serangoon Ave 3) 133 & 135(Serangoon Ave 2)",SERANGOON,CO-ED SCHOOL,PRIMARY,"1.35161217074559,103.864151938651"
110,JUYING PRIMARY SCHOOL,31 JURONG WEST STREET 91,649037,Boon Lay MRT Station (Jurong Point),SBS 99 (From Clementi Inter-change) SBS 241 (From Boon Lay Inter-change),JURONG WEST,CO-ED SCHOOL,PRIMARY,"1.33895145085327,103.687833087248"
111,JUNYUAN PRIMARY SCHOOL,2 TAMPINES STREET 91,528906,Tampines,"5, 8, 10, 15, 18, 21, 22, 23, 27, 28, 31, 34, 39, 59, 65, 67, 168, 292, 293",TAMPINES,CO-ED SCHOOL,PRIMARY,"1.34789154446231,103.939646859373"
112,NORTHLAND PRIMARY SCHOOL,15 YISHUN AVENUE 4,769026,Yishun MRT Station,812 (next to bus service number 171) at Yishun Interchange,YISHUN,CO-ED SCHOOL,PRIMARY,"1.4213040443354499,103.840792917089"
113,NAVAL BASE PRIMARY SCHOOL,7 YISHUN AVE 4,769028,Yishun MRT Station,Feeder bus No. 811 from Yishun Interchange.,YISHUN,CO-ED SCHOOL,PRIMARY,"1.4162801534187701,103.838797686677"
114,XINGNAN PRIMARY SCHOOL,5 JURONG WEST STREET 91,649036,Pioneer MRT Station,Bus 99 & 241,JURONG WEST,CO-ED SCHOOL,PRIMARY,"1.34268487634269,103.68772398508001"
115,QIHUA PRIMARY SCHOOL,5 WOODLANDS STREET 81,738525,Woodlands MRT Station,911,WOODLANDS,CO-ED SCHOOL,PRIMARY,"1.4420359661233202,103.78833975717"
