,school_name,full_add,postal_code,mrt_desc,bus_desc,dgp_code,nature_code,mainlevel_code,latlong
203,EDGEFIELD SECONDARY SCHOOL,36 PUNGGOL FIELD,828814,PUNGGOL MRT,"3,34,62,82,83,119,136,381,382G",PUNGGOL,CO-ED SCHOOL,SECONDARY,"1.40017929451505,103.902141221507"
204,MERIDIAN SECONDARY SCHOOL,31 PASIR RIS STREET 51,518901,PASIR RIS MRT,"39, 53, 81, 89, 109, 359, 403, 518",PASIR RIS,CO-ED SCHOOL,SECONDARY,"1.3671073515704097,103.94927355635099"
205,LOYANG VIEW SECONDARY SCHOOL,12 PASIR RIS STREET 11,519073,PASIR RIS MRT,"12, 21, 39, 53, 81, 359, 351",PASIR RIS,CO-ED SCHOOL,SECONDARY,"1.36589316333355,103.955221658333"
206,DUNMAN HIGH SCHOOL,10 TANJONG RHU ROAD,436895,"ALJUNIED MRT, KALLANG MRT, MOUNTBATTEN MRT","12, 14, 30, 158, 196",KALLANG,CO-ED SCHOOL,MIXED LEVEL,"1.29912530389466,103.88286173631599"
207,RIVER VALLEY HIGH SCHOOL,6 BOON LAY AVENUE,649961,BOON LAY MRT,"99, 157, 172, 174, 174E, 198, 502, 502A, SS4, NR5",JURONG WEST,CO-ED SCHOOL,MIXED LEVEL,"1.3445958422371997,103.70819068894698"
208,AHMAD IBRAHIM SECONDARY SCHOOL,751 YISHUN AVENUE 7,768928,YISHUN MRT,"980, 167, 169, 800, 811, 812, 965, 969, 858, 856, 859",YISHUN,CO-ED SCHOOL,SECONDARY,"1.43623514612257,103.82998645046999"
209,BROADRICK SECONDARY SCHOOL,61 DAKOTA CRESCENT,399935,DAKOTA MRT,"10, 16, 30, 31, 32, 33",GEYLANG,CO-ED SCHOOL,SECONDARY,"1.3075053803199,103.886675419311"
210,BUKIT MERAH SECONDARY SCHOOL,10 LENGKOK BAHRU,159050,REDHILL MRT,"14, 32, 33, 63, 64, 120, 132, 139, 145, 147, 196, 197, 855, 961",BUKIT MERAH,CO-ED SCHOOL,SECONDARY,"1.28575153716323,103.81320835637199"
211,BUKIT PANJANG GOVT. HIGH SCHOOL,7 CHOA CHU KANG AVE 4,689809,CHOA CHU KANG MRT,"300, 983",CHOA CHU KANG,CO-ED SCHOOL,SECONDARY,"1.3821367218646698,103.738134418559"
212,DUNMAN SECONDARY SCHOOL,21 TAMPINES STREET 45,529093,TAMPINES EAST MRT,"28, 29, 293",TAMPINES,CO-ED SCHOOL,SECONDARY,"1.3605475096799198,103.95620727872601"
213,JURONG SECONDARY SCHOOL,31 YUAN CHING ROAD,618652,LAKESIDE MRT,"30, 49, 98, 98A, 154, 240, 246",JURONG WEST,CO-ED SCHOOL,SECONDARY,"1.33014735400655,103.72409968506001"
214,NAVAL BASE SECONDARY SCHOOL,901 YISHUN RING ROAD,768689,KHATIB MRT,"39, 811, 812, 851, 852, 853, 854, 855, 858, 965, 969",YISHUN,CO-ED SCHOOL,SECONDARY,"1.4192452929361499,103.831044083051"
215,OUTRAM SECONDARY SCHOOL,3 YORK HILL,168622,OUTRAM PARK MRT,"174 , 123, 16, 175, 195, 33, 5, 63, 75, 851, 970, 123, 186, 51, 64",CENTRAL,CO-ED SCHOOL,SECONDARY,"1.28638748563469,103.83707282942"
216,YIO CHU KANG SECONDARY SCHOOL,3063 ANG MO KIO AVENUE 5,569868,YIO CHU KANG MRT,"13, 45, 86, 138, 162, 269, 851, 852, 853",ANG MO KIO,CO-ED SCHOOL,SECONDARY,"1.37826335261874,103.841809445345"
217,YUAN CHING SECONDARY SCHOOL,103 YUAN CHING ROAD,618654,LAKESIDE MRT,"154, 240, 246, 98, 154, 180, 182, 187",JURONG WEST,CO-ED SCHOOL,SECONDARY,"1.3418918714568602,103.720630790899"
218,BOON LAY SECONDARY SCHOOL,11 JURONG WEST STREET 65,648354,BOON LAY MRT,"99,181,192,193,243,192,193,242,243,257, 502,502A",JURONG WEST,CO-ED SCHOOL,SECONDARY,"1.34322372271824,103.701702919853"
219,BEDOK VIEW SECONDARY SCHOOL,6 BEDOK SOUTH AVENUE 3,469293,TANAH MERAH MRT,"2, 9, 12, 14, 24, 25, 31, 35, 38, 45, 46, 47, 48, 506",BEDOK,CO-ED SCHOOL,SECONDARY,"1.3239993964861498,103.94347522507299"
220,HUA YI SECONDARY SCHOOL,60 JURONG WEST ST 42,649371,"LAKESIDE MRT, CHINESE GARDEN MRT","98, 98A, 99, 157, 187, 198, 334, 335, 502",JURONG WEST,CO-ED SCHOOL,SECONDARY,"1.35235629697624,103.721726596827"
221,DEYI SECONDARY SCHOOL,1 ANG MO KIO STREET 42,569277,ANG MO KIO MRT,"22, 24, 25, 73, 74, 76, , 88, 132, 135, 159, 162, 165, 261, 262, 268, 853",ANG MO KIO,CO-ED SCHOOL,SECONDARY,"1.36734742078767,103.851936118929"
222,PING YI SECONDARY SCHOOL,61 CHAI CHEE STREET,468980,BEDOK MRT,"26, 222, 222P, 2, 7, 24, 25, 28, 30, 30E, 32, 33, 40, 67, 229, 401, 854, 60, 87",BEDOK,CO-ED SCHOOL,SECONDARY,"1.3271402853606298,103.920835754422"
223,PEICAI SECONDARY SCHOOL,10 SERANGOON AVENUE 4,556094,SERANGOON MRT,"22, 24, 43, 53, 70, 76, 103, 109, 116, 147, 156, 315, 317, 853",SERANGOON,CO-ED SCHOOL,SECONDARY,"1.3592732485532502,103.87049227816601"
224,PASIR RIS SECONDARY SCHOOL,390 TAMPINES STREET 21,529400,"TAMPINES MRT, TAMPINES EAST MRT, TAMPINEST WEST MRT","4, 8, 10, 18, 19, 20, 22, 23, 28, 29, 31, 37, 38, 39, 46, 65, 69, 72, 81, 127, 129, 291, 292, 293,",TAMPINES,CO-ED SCHOOL,SECONDARY,"1.3546395660089698,103.94861467146099"
225,GUANGYANG SECONDARY SCHOOL,8 BISHAN STREET 12,579807,BISHAN MRT,"410, 13, 56, 57, 59, 88, 93, 157, 163",BISHAN,CO-ED SCHOOL,SECONDARY,"1.34467325334689,103.850550225186"
